Stock_No,Name,Cost,Retail_Price,Quantity,Barcodes,Tags,Taxes,Tax_Exempt,Description,Enable_Decimal,Enable_Open_Price,Disable_Discount,Disable_Inventory,Supplier_Name,Supplier_List,Category_Name,Subcategory_Name,Status
28418,Kopiko Cffee Black Twin 10/60g-P,0,106.9,0,9.00E+11,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28420,Pampers Diaper Bb Drypnts L 14s-P,125.35,131.6,-37,4.99E+12,"HYGIENE, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28422,2603 Vitasoy Milky Almond 1l,85,91.95,-1,4.80E+12,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28424,Binbag Trash Bags W/Tie L 10/10S,0,214.85,0,4.81E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28425,Binbag Trash Bags W/Tie Xl 10/10S,0,332.2,0,4.81E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28426,Binbag Trash Bags W/Tie Xxl 10/10S,0,504.85,0,4.81E+12,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28427,Alaska Cndnsda Pln Pch 2/560(545g-P,0,146.9,-12,4.80E+12,"CONDIMENTS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28429,Alaska Powdered Milk Plain 700g-P,211.27,226.05,-61,4.80E+12,"CONDIMENTS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28431,Alpine Strlzd Mlk Can 3/155ml-P,0,64.15,0,4.80E+12,"CONDIMENTS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
28433,58659 Dm Spag Sce Sweet 2/900g-P,120.93,127,-10,4.80E+12,"NOODLE, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
