Stock_No,Name,Cost,Retail_Price,Quantity,Barcodes,Tags,Taxes,Tax_Exempt,Description,Enable_Decimal,Enable_Open_Price,Disable_Discount,Disable_Inventory,Supplier_Name,Supplier_List,Category_Name,Subcategory_Name,Status
4.80E+12,CDOFunYPTocino225g,0,50,0,,"FROZEN, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,CDO Funtastyk Tocino 450g,94.75,104,0,,"FROZEN, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,CDOFunYPTocino225g,49.25,54.17,1,,"FROZEN, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Cdo Ulam Burger Patties 228g,0,37,0,,"FROZEN, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,CDO Chickn Franks250,35,38,1,,"FROZEN, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,CDO Chicken Franks Jumbo 500g,0,69,0,,"FROZEN, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,CdoBarnC-Nuggts200g,43,46,0,,"FROZEN, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Sesame Hotdog 250g,28,31,0,,"FROZEN, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,FG- Binggo Beef Loaf 100g,10.95,11.5,8,,"CANNED GOODS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,CDO Funtastik Tocino 150g,33.5,36.85,0,,"FROZEN, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Bingo Ham 250g,41.5,45.65,1,,"FROZEN, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Cdo Karne Norte Afritada 100g,0,15,0,,"CANNED GOODS, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Cdo Karne Norte Afritada 150g,24.95,25.7,0,,"CANNED GOODS, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Cdo Ulam Karne Norte Caldereta 100g,0,15,0,,"CANNED GOODS, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Cdo Karne Norte Caldereta 150g,0,23.5,0,,"CANNED GOODS, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,CDO Cheesy Chicken Franks 250g,33,36.5,-3,,"FROZEN, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,san marino red 150g X 4,120.84,127.2,0,,"CANNED GOODS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,CDO Bigtime Hotdog 250g,30,33,0,,"FROZEN, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Cdo bigtime hotdog reg 1kg,117,129,-1,,"FROZEN, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,CDO Bigtime Hotdog 500g,59.75,65.72,-6,,"FROZEN, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,CDO Big Time Hotdog 1kg,119.5,131.5,-5,,"FROZEN, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Cdo bigtime Regular Sulit Pack 200g,25.75,28.33,0,,"FROZEN, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,CDO Bigtime C-dog F-Long 1kg,116,122,0,,"FROZEN, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
