Stock_No,Name,Cost,Retail_Price,Quantity,Barcodes,Tags,Taxes,Tax_Exempt,Description,Enable_Decimal,Enable_Open_Price,Disable_Discount,Disable_Inventory,Supplier_Name,Supplier_List,Category_Name,Subcategory_Name,Status
4.81E+11,Fruyo Strawberry 75ml,8,9,0,,"BEVERAGES, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,FSI Drawing Book blue,13,20,0,,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,FSI Drawing Book Pink,13,20,0,,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,Gard HlthyClnADShmpw/Cndtr 6s,0,22.5,0,,"HYGIENE, NON-FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,Gard MoistCareADShmw/Cndtr 6s,0,26,0,,"HYGIENE, NON-FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,Gard RefMntholADShmpw/Cndtr 6s,0,26,0,,"HYGIENE, NON-FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,Generic Adult Diapers L,165,182,-84,,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,Generic Adult Diapers M,140.83,155,-119,,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,Gf Mega Mayo 3.5L,454.53,477.25,0,,"CONDIMENTS, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,GL Buko Pandan 60ml,15,18,-46,,"CONDIMENTS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,Gold Land Gawgaw 45g,0,60,0,,"CONDIMENTS, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,Gold Land Mixed Powder 45g/10s,0,65,0,,"CONDIMENTS, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,Green Leaves Pandan 60ml,15,18,-18,,"CONDIMENTS, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,Green Leaves Vanilla ,30,35,-37,,"CONDIMENTS, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.81E+12,GreenLeavesBukoPndn,30,35,-1,,"CONDIMENTS, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
