Stock_No,Name,Cost,Retail_Price,Quantity,Barcodes,Tags,Taxes,Tax_Exempt,Description,Enable_Decimal,Enable_Open_Price,Disable_Discount,Disable_Inventory,Supplier_Name,Supplier_List,Category_Name,Subcategory_Name,Status
4.80E+12,Jj Iceman Active 25s,13.49,14,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Jj Iceman Blast 25s,13.49,14,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12, Maxx  Candy  Save 5.00 x 3,0,82,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Jack n Jill Spin 50g,0,9.5,0,,"SNACKS, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Jack n Jill Spin 50gx12,0,108,0,,"SNACKS, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Spin BitesizedCandies 10gx18,29.87,31,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Maxx W/Free Jar ,56.38,59.2,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,JacknJill Buy 3+ Free Gara Jar,0,75.75,0,,"SNACKS, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,JJ ASSORTED TREATS,90.91,95.5,1,,"SNACKS, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Maxx resealable 24g.,7.4,8.5,118,,"CANDY, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Maxx Reseller Pack Buy 3+1,98,104.85,-234,,"CANDY, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,MMD 3+1 BUNDLE PACK,77.66,81.54,-72,,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,MXD GARAJAR FREE 10PCS MAXX HONEY LEMON,87,91.34,-12,,"CANDY, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Maxx 2+1 Reseller Pack (HL+CH+FR 20s),58,60.9,1,,"CANDY, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Buy 3 Maxx Promo Free Kape,88.8,95,-21,,"CANDY, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Maxx (MMD) Buy 3 free 3 GT,88.8,95.1,-40,,"CANDY, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,MMD 3+2 Reseller Pack,107.55,115.1,-99,,"OTHERS, NON-FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Maxx Garajar Tindahan Bundle ,101.4,108.5,-46,,"CANDY, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,DynamiteChews 25s,19,21,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,DynamiteOrngeStrbry 25s,0,18,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,X.O .White  Coffee  50 pcs,28.19,29.5,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Jack &JILL XO Jar 100 Pcs,0,52,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,XO Candy Buy 2+3,0,58,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Candies Assorted Pack ( Buy 3 Free basket ),87,91.35,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,XO buy 2 get 1,64.45,67.5,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Maxx+X.O+Dynamite with Free Basket,87,93,0,,"CANDY, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Balik Negosyo Basket ,87,91.5,0,,"CANDY, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Maxx Negosyo Pack Fr 3XGT,91.5,98,-142,,"CANDY, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,X.O Garajar Bundling,46.2,49.45,-12,,"CANDY, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,XO Coffee&XO ButCara B2 Promo,59.2,63.4,-94,,"CANDY, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Jack&Jill Sweet Treats 65s,45.36,48.55,-46,,"CANDY, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,X.O Strawberry Cheesecake ,33.8,36.15,-122,,"CANDY, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,X.O Cravings Pack,11.7,12.3,-36,,"CANDY, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Sweet Treats Bundle Pack,42.65,44.8,-15,,"CANDY, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Jj Wiggles 25g,0,5.5,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Wiggles Mallow 120g,21.4,31,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Pinoy Kendi 1pack ,0,25,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Jj Yammy Choco Candy 20/7g,0,17,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Jack &  Jill Sweet Mint 20pcs,0,15.5,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Jack & Jill Mintini Chocolate,0,17.5,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Dos Cherry Barley 25s,0,14.75,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Mintini and Maxx w/Free Jar,0,73,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Jack & Jill Maxx Honey Lemon 25 pcs,19.5,20.25,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Jack & Jill Maxx Cherry 25 pcs,19.5,20.25,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Maxx Yellow 45g,23.5,24.67,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Maxx Cherry 45g,23.5,24.67,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Lush Dessert Bundle Pack,10.98,11.75,-55,,"CANDY, FOOD",,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,Jj Star Fruits Assrtd 50pcs,23.07,23.5,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
4.80E+12,StarJellsAstdGumS50g,0,9.5,0,,"CANDY, FOOD",,FALSE,,TRUE,FALSE,FALSE,FALSE,,,,,Active
